,mu11,mu12,mu21,mu22,sigma11,sigma12,sigma21,sigma22,time,loss
71,1.26934291,0.2727144,0.75668186,0.17039493,-4.25967836,-1.35401721,-1.43664926,-2.89834129,37262.0,1514.7573337348845
72,1.16241493,0.35968884,1.58083862,0.54751054,-6.45743407,-1.32035113,-1.33405867,-2.47243304,28808.0,1545.3536751223514
73,0.39724102,0.06055591,0.98498176,0.41828288,-3.70674616,-1.34743108,-1.39224806,-3.13642289,39557.0,1515.420644792706
74,0.41462239,0.07667404,1.47271804,0.48286701,-18.63786561,-1.32473776,-1.29281372,-2.45194512,35411.0,1517.1533586590992
75,1.79424324,0.58735173,1.02881196,0.400238,-9.8006602,-1.274112,-1.31918334,-2.55416515,16254.0,1547.694852103025
76,0.81722633,0.38746534,1.0468119,0.31731469,-3.90577691,-1.35797953,-1.31704412,-2.51944967,28473.0,1529.860486551111
77,0.42532646,0.08402416,1.20597363,0.36852483,-3.01586208,-1.32491494,-1.41658398,-3.22403281,29669.0,1502.212313161688
78,0.8491982,0.31564881,0.54097341,0.11030174,-7.26377875,-1.34849442,-1.36652494,-2.44797937,18149.0,1502.9050210694554
79,1.52336434,0.54784603,0.96378823,0.41361655,-6.08634166,-1.34030702,-1.3272495,-2.63558316,10975.0,1548.0358776239575
80,0.84363173,0.12136654,0.64965928,0.17233356,-5.64824599,-1.35057944,-1.37528,-2.49448816,21634.0,1504.3523278244052
81,1.16426906,0.39422571,0.76281393,0.39803782,-6.71681933,-1.3117929,-1.3846946,-2.72748613,11690.0,1544.09739659992
82,1.4759942,0.4880205,1.10774701,0.56604066,-8.02203793,-1.23710034,-1.31868669,-2.66255978,14197.0,1558.935038887343
83,1.31074158,0.46892918,1.00985193,0.39119612,-6.80797052,-1.30659887,-1.41899852,-2.67015204,11097.0,1541.2488733228622
84,1.43383373,0.49213487,1.3959883,0.3565524,-8.30184929,-1.29706339,-1.31873557,-2.45632929,10794.0,1546.1266153075428
85,0.67172917,0.179518,1.06150502,0.40626222,-15.33663254,-1.33161035,-1.4036381,-2.50542663,17897.0,1517.6517510299502
86,0.89477493,0.27394353,1.79358818,0.69601466,-5.79652181,-1.22409272,-1.2933358,-2.15825267,11719.0,1547.6548833342883
87,1.42566548,0.4286104,0.71053948,0.17837958,-8.95680408,-1.30033524,-1.33462054,-2.4648618,11848.0,1519.2267401045012
88,0.97854494,0.30947895,0.78171356,0.15758609,-4.89305502,-1.31490982,-1.44261456,-2.58885572,21644.0,1513.1746639366893
89,0.3522832,0.02680197,0.60057553,0.15248012,-8.60221355,-1.2869307,-1.40624043,-2.4721356,19223.0,1497.9517488503286
90,0.82279317,0.29915953,0.8775303,0.24224107,-10.68835824,-1.35636879,-1.33264431,-2.49484682,11938.0,1505.0824796172044
91,0.9050554,0.31217096,0.94454619,0.40039189,-3.08867659,-1.3396953,-1.34562297,-3.22957592,11325.0,1530.8831372624204
92,1.55339543,0.54929589,0.44476874,0.05524444,-4.71229315,-1.3182747,-1.39395003,-2.88326579,17113.0,1527.039876224947
93,0.74753699,0.2305929,0.99322942,0.39247085,-3.98354801,-1.3793794,-1.33947667,-2.709069,14982.0,1525.2056757142536
94,0.95093024,0.21624122,1.0901589,0.46944756,-3.93212406,-1.29774948,-1.23928277,-2.56026336,10204.0,1533.5631037808307
95,0.37646221,0.08212747,1.34740547,0.3117952,-4.1168294,-1.35747819,-1.34146887,-2.8030243,21180.0,1513.2664584056308
96,0.79327946,0.17972444,1.51931092,0.72459479,-4.06349521,-1.33607999,-1.22335422,-3.10741364,12849.0,1556.9523769943023
97,0.0536823979,0.00166611712,0.728124765,0.13080432,-3.35813966,-1.401227,-1.37107175,-2.67003877,23604.0,1508.8662609150103
98,1.10366571,0.41603441,1.150542,0.43213221,-4.96670935,-1.31089199,-1.44414957,-2.62985218,17863.0,1532.3232706280733
99,1.71418618,0.57605584,0.89749242,0.26308233,-3.41196923,-1.30965578,-1.3042422,-2.76005922,28347.0,1525.7743896603172
100,1.42021818,0.46600238,0.81831644,0.23708742,-2.78289063,-1.34078088,-1.2787628,-3.5638879,25263.0,1518.710350640129
101,1.31347846,0.32510314,0.87154785,0.43010066,-3.47552346,-1.31997741,-1.32185308,-2.57570506,17209.0,1544.4212903665486
102,1.01981568,0.40198855,0.73189985,0.30263763,-4.63763041,-1.35825913,-1.52349904,-2.73900212,18995.0,1544.1074304826295
103,1.27878215,0.42391032,1.08671956,0.24134792,-9.18031072,-1.31820171,-1.40040962,-2.45132864,12988.0,1523.6843451972345
104,0.26080591,0.06858364,0.84311863,0.35517243,-10.21750181,-1.36247716,-1.40169078,-2.32827705,13013.0,1507.9893326832532
105,0.55127347,0.09857701,1.06818834,0.37633474,-12.12933178,-1.25820374,-1.37439019,-2.29338934,21066.0,1500.7873163195932
106,1.25388913,0.4649515,1.75665377,0.64296039,-11.56528143,-1.32964038,-1.38234631,-2.62719631,12186.0,1565.3926070196778
107,1.11247072,0.48396894,0.64372668,0.10963194,-5.83174002,-1.24053451,-1.39689713,-2.55385424,9457.0,1532.000762585474
108,1.30114451,0.4692276,1.68176433,0.49096061,-3.61862426,-1.2844538,-1.22012436,-3.30652485,12162.0,1554.6146744893704
109,0.66296573,0.1724898,1.20764719,0.35483096,-3.00526428,-1.33424931,-1.3802649,-3.4928772,15585.0,1507.3198265151864
110,1.54507091,0.53245515,0.73998421,0.40705683,-3.61255131,-1.3123023,-1.25934798,-2.78434468,12910.0,1553.8356000593344
111,1.30610738,0.50543927,0.9968473,0.47047102,-9.45332478,-1.22014218,-1.31306055,-2.48919302,12614.0,1560.4889614731965
112,0.54747353,0.13726432,1.25871613,0.31125609,-3.88524337,-1.35240209,-1.3081234,-2.65708929,48446.0,1513.5626696268143
113,0.75910304,0.17940103,1.54982632,0.62325726,-5.79512119,-1.32854837,-1.34767117,-2.55567551,50995.0,1529.8809663224922
114,1.4867094,0.54160032,0.65778352,0.18935645,-4.08993128,-1.35417158,-1.43322937,-2.63546776,47669.0,1528.0898043741763
115,1.07488116,0.37013295,1.14718719,0.34214028,-6.40845182,-1.33236514,-1.37897249,-2.34704214,43621.0,1524.5671425085404
116,0.48456,0.15540914,1.25412641,0.50672333,-4.07170906,-1.3699981,-1.3404651,-2.53285319,52950.0,1515.0313015064878
117,1.71738016,0.54232815,0.64937875,0.25287716,-3.70481289,-1.31314717,-1.33435422,-2.91605417,53016.0,1527.1979582663682
118,0.21924973,0.02287402,1.00059677,0.21800303,-4.24703587,-1.31402916,-1.34137336,-2.37792553,42046.0,1509.819305209922
119,1.00355272,0.15407993,0.45742941,0.09732938,-4.53545988,-1.17894084,-1.35750594,-2.27205947,49548.0,1533.9185869855005
120,1.27275001,0.39726809,1.33796969,0.40224853,-7.90893385,-1.31822164,-1.37046505,-2.45793105,37379.0,1526.9602604689076
121,0.3710432,0.06550383,0.68620126,0.29974515,-4.05348447,-1.3458973,-1.45655734,-2.73681154,48652.0,1512.1761526801322
122,1.07461266,0.31055939,1.29509476,0.48663787,-7.36437224,-1.18026132,-1.36003432,-2.30965454,42396.0,1538.1758924031997
123,1.25656546,0.29385886,1.19976293,0.48687185,-19.53423866,-1.31229177,-1.3225725,-2.50517848,40562.0,1535.3414702595403
124,0.93479413,0.21203827,0.69153036,0.30572403,-7.97897444,-1.29910911,-1.3985531,-2.53905858,51100.0,1515.038140499419
125,1.25424251,0.42498436,1.52674732,0.42032488,-5.11713853,-1.41165888,-1.37596791,-2.78268332,36442.0,1556.4022114231996
126,0.52545066,0.16318688,1.78270764,0.70259759,-7.70870884,-1.35602122,-1.39477165,-2.66142321,43566.0,1536.4684140080424
127,1.01462612,0.25249132,1.08350822,0.4553453,-6.63409057,-1.290005,-1.36709682,-2.45810455,47654.0,1525.732620273305
128,0.94171612,0.33327182,1.55632105,0.44688765,-2.66773038,-1.25794017,-1.20822898,-3.95499469,42368.0,1535.5362390887417
129,0.92723501,0.36595015,0.69758863,0.23197456,-6.73782293,-1.34190151,-1.38308528,-2.30786031,50385.0,1526.6323375509376
130,0.46865373,0.14352419,0.77237431,0.24902007,-3.97681715,-1.37608314,-1.24948997,-2.59015858,48158.0,1500.934702986811
131,1.18692672,0.34825733,0.98589461,0.45427669,-4.9829527,-1.31166073,-1.35616225,-2.68007266,42867.0,1541.4600484507282
132,1.26528555,0.32437003,1.33891953,0.33721078,-3.9747493,-1.34897942,-1.28050057,-2.75819989,50821.0,1531.7264306525742
133,0.85504171,0.19541577,1.43274593,0.48911714,-2.86562494,-1.36041604,-1.26246743,-6.59879885,52018.0,1522.1179710548124
134,1.51810932,0.4472863,0.77372862,0.29988769,-6.86392253,-1.3634868,-1.328941,-2.34759591,42655.0,1523.994139669604
135,0.64701845,0.28552759,1.29904519,0.34048806,-5.95387585,-1.32605952,-1.36748165,-2.60339689,50197.0,1525.7849101721688
136,0.77042417,0.18905164,1.32829724,0.34722763,-3.25519785,-1.27054861,-1.37800221,-3.14733068,54471.0,1518.5383775481234
137,1.0224615,0.31984901,1.23975367,0.49835271,-2.52641451,-1.35641901,-1.19877544,-4.78646283,44393.0,1533.2280068676891
138,0.97650228,0.27878552,0.62636255,0.23269377,-4.47643652,-1.32554363,-1.39910595,-2.89958888,53091.0,1511.7484521456274
139,1.05434828,0.35851156,0.83438307,0.23812318,-4.5958619,-1.29779891,-1.31627832,-2.30532196,42772.0,1514.5278739620803
140,0.90476811,0.41031453,1.58213977,0.37892023,-8.46982043,-1.27076756,-1.35873535,-2.49717719,46952.0,1545.7311771959855
141,1.03479129,0.21999666,1.14396941,0.45582539,-7.20215604,-1.34512528,-1.41457531,-2.55923289,45081.0,1530.224241551445
142,0.51230188,0.08163254,1.65654508,0.60784716,-2.85643627,-1.36733623,-1.30424399,-3.24136743,54524.0,1520.6105501577558
143,1.36248695,0.4986135,0.72868063,0.26532116,-12.94400114,-1.283334,-1.36714966,-2.44026742,43846.0,1521.512369021877
