,loss
280,1590.47737666016
281,1885.6574707385728
282,1651.833281896859
283,1620.2315714514923
284,1675.3859232893951
285,1788.404465049922
286,1878.334345233304
287,1826.8428948266976
288,1703.715646320204
289,1517.898151023858
290,1713.1543614246918
291,1644.824839126315
292,1666.965772978128
293,1578.388467324986
294,1602.0671630756497
295,1551.9257405613712
296,1610.665659637734
297,1644.8448035568274
298,1956.976431376493
299,1644.4997940238156
300,1622.819337500437
301,1605.208707100878
302,1710.4917347889502
303,1577.6233708438042
304,1711.5392225797968
305,1759.511005376778
306,1690.0613735202612
307,2158.5409278354077
308,1718.3081119291355
309,1915.9496905158571
310,1674.9204444561483
311,1838.42951322012
312,1616.2149739190168
313,1637.3699917180445
314,1746.4502889679409
315,1674.06034957103
316,1635.4775677697469
317,1668.8242025637278
318,1906.1680437051575
319,1615.7073702216076
320,1763.0509527133815
321,1627.4415223252597
322,1770.879627694843
323,1663.2966530632034
324,1579.1668832274547
325,1687.0648422291413
326,1669.22074308625
327,1741.478670189235
328,1590.330290324206
329,1632.934842954744
330,1624.7465202967958
331,1866.2142620215727
332,1712.6165288335285
333,1672.3057521150913
334,1644.175214480113
335,1719.3561608702878
336,1863.2700796144013
337,1805.5772501130325
338,1811.2240777045288
339,1737.0301264955374
340,1620.94451929788
341,1550.0964389770122
342,1599.6216927123278
343,1603.9484530000557
