"","x"
"784",0.873684525856388
"785",0.647821319035236
"786",0.109203327000317
"787",0.356313714029191
"788",0.712034609392813
"789",0.926890707825408
"790",0.658217440299966
"791",0.512128793531246
"792",0.860889820169209
"793",0.911856325903835
"794",0.01
"795",0.766417305360788
"796",0.625592870616305
"797",0.15510803545427
"798",0.203821898249275
"799",0.560597323213372
"800",0.0727817637101258
"801",0.664168602453961
"802",0.869559299735702
"803",0.223332036642034
"804",0.652755906259542
"805",0.631965191978896
"806",0.115472780589741
"807",0.788834532820128
"808",0.205227418177176
"809",0.487589205152224
"810",0.515003050211901
"811",0.887891063701753
"812",0.682473295544151
"813",0.0940960326355669
"814",0.671847149734334
"815",0.0870173905168826
"816",0.727421114943145
"817",0.576710256253858
"818",0.936562934171708
"819",0.841904922647965
"820",0.639790830071564
"821",0.344052419019019
"822",0.532185098114715
"823",0.432636413368444
"824",0.743733693630948
"825",0.798392826248241
"826",0.906284558561088
"827",0.309931351160525
"828",0.01
"829",0.917339687645689
"830",0.0880812932871289
"831",0.558891458007051
"832",0.305364426177709
"833",0.0619947077685814
"834",0.59179988519949
"835",0.565025431622698
"836",0.641774551017654
"837",0.121953170712085
"838",0.0956932241555619
"839",0.497596561786331
"840",0.157388607033194
"841",0.623571908729723
"842",0.181974416181255
"843",0.556904343263688
"844",0.527234557810785
"845",0.822008223760048
"846",0.431460058944023
"847",0.0383769147977761
"848",0.870010741304303
"849",0.512478730942952
"850",0.870793187418539
"851",0.819369265824164
"852",0.475800215081839
"853",0.447912932002268
"854",0.0279325416670075
"855",0.957932362152393
"856",0.753045041807685
"857",0.0314722333100034
"858",0.602812461433743
"859",0.741598999453151
"860",0.815894290508658
"861",0.87475690186832
"862",0.212529975856013
"863",0.709232900324788
"864",0.16360780599181
"865",0.253266288344337
"866",0.45275443842824
"867",0.892993903916122
"868",0.272413365802389
"869",0.34997530314204
"870",0.635898988279539
"871",0.741085371984417
"872",0.935565065061115
"873",0.0494101160439442
"874",0.667458756128358
"875",0.0569682100762619
"876",0.535322884887055
"877",0.866360836633723
"878",0.490902340239283
"879",0.089242352590313
"880",0.869917434075834
"881",0.0301593880993901
"882",0.815721884178694
"883",0.0163554457434773
"884",0.924352497183564
"885",0.256051146953856
"886",0.37442128508405
"887",0.616973062571097
"888",0.492709328705257
"889",0.508515225107328
"890",0.188705998080334
"891",0.526700376711933
"892",0.862258551753332
"893",0.357464928158382
"894",0.384434571671837
"895",0.478473082506372
"896",0.0977999415563425
"897",0.350246065867449
"898",0.403048175377753
"899",0.835216788454348
"900",0.724955143404043
"901",0.515029928301948
"902",0.0880001508222688
"903",0.863445181358996
"904",0.360981381582357
"905",0.0901625879785282
"906",0.91755934823904
"907",0.938896066144117
"908",0.839954766694226
"909",0.460156825381713
"910",0.330833591401858
"911",0.698365893084336
"912",0.521610998486688
"913",0.192563589082803
"914",0.271097132901506
"915",0.665568720984837
"916",0.31185490768688
"917",0.0779244844693102
"918",0.883652879227467
"919",0.59401323321817
"920",0.796615023166234
"921",0.88687542603574
"922",0.541037768867047
"923",0.586970606588745
"924",0.529292335290883
"925",0.81905868571589
"926",0.546533967789295
"927",0.149896074943735
"928",0.563183088813975
"929",0.500490043773641
"930",0.681082587547236
"931",0.832980088504557
"932",0.669608781127144
"933",0.0158300129225694
"934",0.241007043203146
"935",0.702692327002929
"936",0.444090186222243
"937",0.865217908059926
"938",0.157898073239091
"939",0.733403203969991
"940",0.572510851023966
"941",0.245056040368594
"942",0.360254056521805
"943",0.847194315763624
"944",0.884015626089994
"945",0.883386553944596
"946",0.01
"947",0.471860307181496
"948",0.951584648674051
"949",0.496554080524525
"950",0.0188550556098424
"951",0.608866203552557
"952",0.442786581256713
"953",0.409649334667362
"954",0.651622165208373
"955",0.884452707729954
"956",0.363094375269421
"957",0.565925679028797
"958",0.728023666291702
"959",0.855814337502999
"960",0.465979575340585
"961",0.384254060152724
"962",0.460162855620086
"963",0.652817358382757
"964",0.860263403505349
"965",0.863561763190022
"966",0.0538445227481983
"967",0.316326874380643
"968",0.578531042888009
"969",0.801609873992772
"970",0.887141533027958
"971",0.709309284314768
"972",0.625694416279868
"973",0.936963141731439
"974",0.475456725705952
"975",0.208811943237978
"976",0.413160817856021
"977",0.978539910872231
"978",0.52573768291177
"979",0.84710024030995
"980",0.684742416492748
"981",0.49225962025917
"982",0.0335888951927124
